day;mnth;year;season;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;rentals
1;1;2011;1;0;6;0;2;344167;363625;805833;160446;331
2;1;2011;1;0;0;0;2;363478;353739;696087;248539;131
3;1;2011;1;0;1;1;1;196364;189405;437273;248309;120
4;1;2011;1;0;2;1;1;2;212122;590435;160296;108
5;1;2011;1;0;3;1;1;226957;22927;436957;1869;82
6;1;2011;1;0;4;1;1;204348;233209;518261;895652;88
7;1;2011;1;0;5;1;2;196522;208839;498696;168726;148
8;1;2011;1;0;6;0;2;165;162254;535833;266804;68
9;1;2011;1;0;0;0;1;138333;116175;434167;36195;54
10;1;2011;1;0;1;1;1;150833;150888;482917;223267;41
11;1;2011;1;0;2;1;2;169091;191464;686364;122132;43
12;1;2011;1;0;3;1;1;172727;160473;599545;304627;25
13;1;2011;1;0;4;1;1;165;150883;470417;301;38
14;1;2011;1;0;5;1;1;16087;188413;537826;126548;54
15;1;2011;1;0;6;0;2;233333;248112;49875;157963;222
16;1;2011;1;0;0;0;1;231667;234217;48375;188433;251
17;1;2011;1;1;1;0;2;175833;176771;5375;194017;117
18;1;2011;1;0;2;1;2;216667;232333;861667;146775;9
19;1;2011;1;0;3;1;2;292174;298422;741739;208317;78
20;1;2011;1;0;4;1;2;261667;25505;538333;195904;83
21;1;2011;1;0;5;1;1;1775;157833;457083;353242;75
22;1;2011;1;0;6;0;1;591304;790696;4;17197;93
23;1;2011;1;0;0;0;1;965217;988391;436522;2466;150
24;1;2011;1;0;1;1;1;973913;11793;491739;15833;86
25;1;2011;1;0;2;1;2;223478;234526;616957;129796;186
26;1;2011;1;0;3;1;3;2175;2036;8625;29385;34
27;1;2011;1;0;4;1;1;195;2197;6875;113837;15
28;1;2011;1;0;5;1;2;203478;223317;793043;1233;38
29;1;2011;1;0;6;0;1;196522;212126;651739;145365;123
30;1;2011;1;0;0;0;1;216522;250322;722174;739826;140
31;1;2011;1;0;1;1;2;180833;18625;60375;187192;42
1;2;2011;1;0;2;1;2;192174;23453;829565;53213;47
2;2;2011;1;0;3;1;2;26;254417;775417;264308;72
3;2;2011;1;0;4;1;1;186957;177878;437826;277752;61
4;2;2011;1;0;5;1;2;211304;228587;585217;127839;88
5;2;2011;1;0;6;0;2;233333;243058;929167;161079;100
6;2;2011;1;0;0;0;1;285833;291671;568333;1418;354
7;2;2011;1;0;1;1;1;271667;303658;738333;454083;120
8;2;2011;1;0;2;1;1;220833;198246;537917;36195;64
9;2;2011;1;0;3;1;2;134783;144283;494783;188839;53
10;2;2011;1;0;4;1;1;144348;149548;437391;221935;47
11;2;2011;1;0;5;1;1;189091;213509;506364;10855;149
12;2;2011;1;0;6;0;1;2225;232954;544167;203367;288
13;2;2011;1;0;0;0;1;316522;324113;457391;260883;397
14;2;2011;1;0;1;1;1;415;39835;375833;417908;208
15;2;2011;1;0;2;1;1;266087;254274;314348;291374;140
16;2;2011;1;0;3;1;1;318261;3162;423478;251791;218
17;2;2011;1;0;4;1;1;435833;428658;505;230104;259
18;2;2011;1;0;5;1;1;521667;511983;516667;264925;579
19;2;2011;1;0;6;0;1;399167;391404;187917;507463;532
20;2;2011;1;0;0;0;1;285217;27733;407826;223235;639
21;2;2011;1;1;1;0;2;303333;284075;605;307846;195
22;2;2011;1;0;2;1;1;182222;186033;577778;195683;74
23;2;2011;1;0;3;1;1;221739;245717;423043;94113;139
24;2;2011;1;0;4;1;2;295652;289191;697391;250496;100
25;2;2011;1;0;5;1;2;364348;350461;712174;346539;120
26;2;2011;1;0;6;0;1;2825;282192;537917;186571;424
27;2;2011;1;0;0;0;1;343478;351109;68;125248;694
28;2;2011;1;0;1;1;2;407273;400118;876364;289686;81
1;3;2011;1;0;2;1;1;266667;263879;535;216425;137
2;3;2011;1;0;3;1;1;335;320071;449583;307833;231
3;3;2011;1;0;4;1;1;198333;200133;318333;225754;123
4;3;2011;1;0;5;1;2;261667;255679;610417;203346;214
5;3;2011;1;0;6;0;2;384167;378779;789167;251871;640
6;3;2011;1;0;0;0;2;376522;366252;948261;343287;114
7;3;2011;1;0;1;1;1;261739;238461;551304;341352;244
8;3;2011;1;0;2;1;1;2925;3024;420833;12065;316
9;3;2011;1;0;3;1;2;295833;286608;775417;22015;191
10;3;2011;1;0;4;1;3;389091;385668;0;261877;46
11;3;2011;1;0;5;1;2;316522;305;649565;23297;247
12;3;2011;1;0;6;0;1;329167;32575;594583;220775;724
13;3;2011;1;0;0;0;1;384348;380091;527391;270604;982
14;3;2011;1;0;1;1;1;325217;332;496957;136926;359
15;3;2011;1;0;2;1;2;317391;318178;655652;184309;289
16;3;2011;1;0;3;1;2;365217;36693;776522;203117;321
17;3;2011;1;0;4;1;1;415;410333;602917;209579;424
18;3;2011;1;0;5;1;1;54;527009;525217;231017;884
19;3;2011;1;0;6;0;1;4725;466525;379167;368167;1424
20;3;2011;1;0;0;0;1;3325;32575;47375;207721;1047
21;3;2011;2;0;1;1;2;430435;409735;737391;288783;401
22;3;2011;2;0;2;1;1;441667;440642;624583;22575;460
23;3;2011;2;0;3;1;2;346957;337939;839565;234261;203
24;3;2011;2;0;4;1;2;285;270833;805833;243787;166
25;3;2011;2;0;5;1;1;264167;256312;495;230725;300
26;3;2011;2;0;6;0;1;265833;257571;394167;209571;981
27;3;2011;2;0;0;0;2;253043;250339;493913;1843;472
28;3;2011;2;0;1;1;1;264348;257574;302174;212204;222
29;3;2011;2;0;2;1;1;3025;292908;314167;226996;317
30;3;2011;2;0;3;1;2;3;29735;646667;172888;168
31;3;2011;2;0;4;1;3;268333;257575;918333;217646;179
1;4;2011;2;0;5;1;2;3;283454;68625;258708;307
2;4;2011;2;0;6;0;2;315;315637;65375;197146;898
3;4;2011;2;0;0;0;1;378333;378767;48;182213;1651
4;4;2011;2;0;1;1;1;573333;542929;42625;385571;734
5;4;2011;2;0;2;1;2;414167;39835;642083;388067;167
6;4;2011;2;0;3;1;1;390833;387608;470833;263063;413
7;4;2011;2;0;4;1;1;4375;433696;602917;162312;571
8;4;2011;2;0;5;1;2;335833;324479;83625;226992;172
9;4;2011;2;0;6;0;2;3425;341529;8775;133083;879
10;4;2011;2;0;0;0;2;426667;426737;8575;146767;1188
11;4;2011;2;0;1;1;2;595652;565217;716956;324474;855
12;4;2011;2;0;2;1;2;5025;493054;739167;274879;257
13;4;2011;2;0;3;1;2;4125;417283;819167;250617;209
14;4;2011;2;0;4;1;1;4675;462742;540417;1107;529
15;4;2011;2;1;5;0;1;446667;441913;67125;226375;642
16;4;2011;2;0;6;0;3;430833;425492;888333;340808;121
17;4;2011;2;0;0;0;1;456667;445696;479583;303496;1558
18;4;2011;2;0;1;1;1;5125;503146;5425;163567;669
19;4;2011;2;0;2;1;2;505833;489258;665833;157971;409
20;4;2011;2;0;3;1;1;595;564392;614167;241925;613
21;4;2011;2;0;4;1;1;459167;453892;407083;325258;745
22;4;2011;2;0;5;1;2;336667;321954;729583;219521;177
23;4;2011;2;0;6;0;2;46;450121;887917;230725;1462
24;4;2011;2;0;0;0;2;581667;551763;810833;192175;1710
25;4;2011;2;0;1;1;1;606667;5745;776667;185333;773
26;4;2011;2;0;2;1;1;631667;594083;729167;3265;678
27;4;2011;2;0;3;1;2;62;575142;835417;3122;547
28;4;2011;2;0;4;1;2;6175;578929;700833;320908;569
29;4;2011;2;0;5;1;1;51;497463;457083;240063;878
30;4;2011;2;0;6;0;1;4725;464021;503333;235075;1965
1;5;2011;2;0;0;0;2;451667;448204;762083;106354;1138
2;5;2011;2;0;1;1;2;549167;532833;73;183454;847
3;5;2011;2;0;2;1;2;616667;582079;697083;342667;603
4;5;2011;2;0;3;1;2;414167;40465;737083;328996;255
5;5;2011;2;0;4;1;1;459167;441917;444167;295392;614
6;5;2011;2;0;5;1;1;479167;474117;59;228246;894
7;5;2011;2;0;6;0;1;52;512621;54125;16045;1612
8;5;2011;2;0;0;0;1;528333;518933;631667;746375;1401
9;5;2011;2;0;1;1;1;5325;525246;58875;176;664
10;5;2011;2;0;2;1;1;5325;522721;489167;115671;694
11;5;2011;2;0;3;1;1;5425;5284;632917;120642;550
12;5;2011;2;0;4;1;1;535;523363;7475;189667;695
13;5;2011;2;0;5;1;2;5125;4943;863333;179725;692
14;5;2011;2;0;6;0;2;520833;500629;9225;13495;902
15;5;2011;2;0;0;0;2;5625;536;867083;152979;1582
16;5;2011;2;0;1;1;1;5775;550512;787917;126871;773
17;5;2011;2;0;2;1;2;561667;538529;837917;277354;678
18;5;2011;2;0;3;1;2;55;527158;87;201492;536
19;5;2011;2;0;4;1;2;530833;510742;829583;108213;735
20;5;2011;2;0;5;1;1;536667;529042;719583;125013;909
21;5;2011;2;0;6;0;1;6025;571975;626667;12065;2258
22;5;2011;2;0;0;0;1;604167;5745;749583;148008;1576
23;5;2011;2;0;1;1;2;631667;590296;81;233842;836
24;5;2011;2;0;2;1;2;66;604813;740833;207092;659
25;5;2011;2;0;3;1;1;660833;615542;69625;154233;740
26;5;2011;2;0;4;1;1;708333;654688;6775;199642;758
27;5;2011;2;0;5;1;1;681667;637008;65375;240679;871
28;5;2011;2;0;6;0;1;655833;612379;729583;230092;2001
29;5;2011;2;0;0;0;1;6675;61555;81875;213938;2355
30;5;2011;2;1;1;0;1;733333;671092;685;131225;1549
31;5;2011;2;0;2;1;1;775;725383;636667;111329;673
1;6;2011;2;0;3;1;2;764167;720967;677083;207092;513
2;6;2011;2;0;4;1;1;715;643942;305;292287;736
3;6;2011;2;0;5;1;1;62;587133;354167;253121;898
4;6;2011;2;0;6;0;1;635;594696;45625;123142;1869
5;6;2011;2;0;0;0;2;648333;616804;6525;138692;1685
6;6;2011;2;0;1;1;1;678333;621858;6;121896;673
7;6;2011;2;0;2;1;1;7075;65595;597917;187808;763
8;6;2011;2;0;3;1;1;775833;727279;622083;136817;676
9;6;2011;2;0;4;1;2;808333;757579;568333;149883;563
10;6;2011;2;0;5;1;1;755;703292;605;140554;815
11;6;2011;2;0;6;0;1;725;678038;654583;15485;1729
12;6;2011;2;0;0;0;1;6925;643325;747917;163567;1467
13;6;2011;2;0;1;1;1;635;601654;494583;30535;863
14;6;2011;2;0;2;1;1;604167;591546;507083;269283;727
15;6;2011;2;0;3;1;1;626667;587754;471667;167912;769
16;6;2011;2;0;4;1;2;628333;595346;688333;206471;545
17;6;2011;2;0;5;1;1;649167;600383;735833;143029;863
18;6;2011;2;0;6;0;1;696667;643954;670417;119408;1807
19;6;2011;2;0;0;0;2;699167;645846;666667;102;1639
20;6;2011;2;0;1;1;2;635;595346;74625;155475;699
21;6;2011;3;0;2;1;2;680833;637646;770417;171025;774
22;6;2011;3;0;3;1;1;733333;693829;7075;172262;661
23;6;2011;3;0;4;1;2;728333;693833;703333;238804;746
24;6;2011;3;0;5;1;1;724167;656583;573333;222025;969
25;6;2011;3;0;6;0;1;695;643313;483333;209571;1782
26;6;2011;3;0;0;0;1;68;637629;513333;945333;1920
27;6;2011;3;0;1;1;2;6825;637004;658333;107588;854
28;6;2011;3;0;2;1;1;744167;692558;634167;144283;732
29;6;2011;3;0;3;1;1;728333;654688;497917;261821;848
30;6;2011;3;0;4;1;1;696667;637008;434167;185312;1027
1;7;2011;3;0;5;1;1;7225;652162;39625;102608;1246
2;7;2011;3;0;6;0;1;738333;667308;444583;115062;2204
3;7;2011;3;0;0;0;2;716667;668575;6825;228858;2282
4;7;2011;3;1;1;0;2;726667;665417;637917;814792;3065
5;7;2011;3;0;2;1;1;746667;696338;590417;126258;1031
6;7;2011;3;0;3;1;1;72;685633;743333;149883;784
7;7;2011;3;0;4;1;1;75;686871;65125;1592;754
8;7;2011;3;0;5;1;2;709167;670483;757917;225129;692
9;7;2011;3;0;6;0;1;733333;664158;609167;167912;1988
10;7;2011;3;0;0;0;1;7475;690025;578333;183471;1743
11;7;2011;3;0;1;1;1;7625;729804;635833;282337;723
12;7;2011;3;0;2;1;1;794167;739275;559167;200254;662
13;7;2011;3;0;3;1;1;746667;689404;631667;146133;748
14;7;2011;3;0;4;1;1;680833;635104;47625;240667;888
15;7;2011;3;0;5;1;1;663333;624371;59125;182833;1318
16;7;2011;3;0;6;0;1;686667;638263;585;208342;2418
17;7;2011;3;0;0;0;1;719167;669833;604167;245033;2006
18;7;2011;3;0;1;1;1;746667;703925;65125;215804;841
19;7;2011;3;0;2;1;1;776667;747479;650417;1306;752
20;7;2011;3;0;3;1;1;768333;74685;707083;113817;644
21;7;2011;3;0;4;1;2;815;826371;69125;222021;632
22;7;2011;3;0;5;1;1;848333;840896;580417;1331;562
23;7;2011;3;0;6;0;1;849167;804287;5;131221;987
24;7;2011;3;0;0;0;1;83;794829;550833;169171;1050
25;7;2011;3;0;1;1;1;743333;720958;757083;908083;568
26;7;2011;3;0;2;1;1;771667;696979;540833;200258;750
27;7;2011;3;0;3;1;1;775;690667;402917;183463;755
28;7;2011;3;0;4;1;1;779167;7399;583333;178479;606
29;7;2011;3;0;5;1;1;838333;785967;5425;174138;670
30;7;2011;3;0;6;0;1;804167;728537;465833;168537;1559
31;7;2011;3;0;0;0;1;805833;729796;480833;164813;1524
1;8;2011;3;0;1;1;1;771667;703292;550833;156717;729
2;8;2011;3;0;2;1;1;783333;707071;49125;20585;801
3;8;2011;3;0;3;1;2;731667;679937;6575;135583;467
4;8;2011;3;0;4;1;2;71;664788;7575;19715;799
5;8;2011;3;0;5;1;1;710833;656567;630833;184696;1023
6;8;2011;3;0;6;0;2;716667;676154;755;22825;1521
7;8;2011;3;0;0;0;1;7425;715292;752917;201487;1298
8;8;2011;3;0;1;1;1;765;703283;592083;192175;846
9;8;2011;3;0;2;1;1;775;724121;570417;151121;907
10;8;2011;3;0;3;1;1;766667;684983;424167;200258;884
11;8;2011;3;0;4;1;1;7175;651521;42375;164796;812
12;8;2011;3;0;5;1;1;708333;654042;415;125621;1051
13;8;2011;3;0;6;0;2;685833;645858;729583;211454;1504
14;8;2011;3;0;0;0;2;676667;624388;8175;222633;1338
15;8;2011;3;0;1;1;1;665833;616167;712083;208954;775
16;8;2011;3;0;2;1;1;700833;645837;578333;236329;721
17;8;2011;3;0;3;1;1;723333;666671;575417;143667;668
18;8;2011;3;0;4;1;1;711667;662258;654583;233208;639
19;8;2011;3;0;5;1;2;685;633221;722917;139308;797
20;8;2011;3;0;6;0;1;6975;648996;674167;104467;1914
21;8;2011;3;0;0;0;1;710833;675525;77;248754;1249
22;8;2011;3;0;1;1;1;691667;638254;47;27675;833
23;8;2011;3;0;2;1;1;640833;606067;455417;146763;1281
24;8;2011;3;0;3;1;1;673333;630692;605;253108;949
25;8;2011;3;0;4;1;2;684167;645854;771667;210833;435
26;8;2011;3;0;5;1;1;7;659733;76125;839625;768
27;8;2011;3;0;6;0;2;68;635556;85;375617;226
28;8;2011;3;0;0;0;1;707059;647959;561765;304659;1415
29;8;2011;3;0;1;1;1;636667;607958;554583;159825;729
30;8;2011;3;0;2;1;1;639167;594704;548333;125008;775
31;8;2011;3;0;3;1;1;656667;611121;597917;833333;688
1;9;2011;3;0;4;1;1;655;614921;639167;141796;783
2;9;2011;3;0;5;1;2;643333;604808;727083;139929;875
3;9;2011;3;0;6;0;1;669167;633213;716667;185325;1935
4;9;2011;3;0;0;0;1;709167;665429;742083;206467;2521
5;9;2011;3;1;1;0;2;673333;625646;790417;212696;1236
6;9;2011;3;0;2;1;3;54;5152;886957;343943;204
7;9;2011;3;0;3;1;3;599167;544229;917083;970208;118
8;9;2011;3;0;4;1;3;633913;555361;939565;192748;153
9;9;2011;3;0;5;1;2;65;578946;897917;124379;417
10;9;2011;3;0;6;0;1;66;607962;75375;153608;1750
11;9;2011;3;0;0;0;1;653333;609229;71375;115054;1633
12;9;2011;3;0;1;1;1;644348;60213;692174;88913;690
13;9;2011;3;0;2;1;1;650833;603554;7125;141804;701
14;9;2011;3;0;3;1;1;673333;6269;697083;1673;647
15;9;2011;3;0;4;1;2;5775;553671;709167;271146;428
16;9;2011;3;0;5;1;2;469167;461475;590417;164183;742
17;9;2011;3;0;6;0;2;491667;478512;718333;189675;1434
18;9;2011;3;0;0;0;1;5075;490537;695;178483;1353
19;9;2011;3;0;1;1;2;549167;529675;69;151742;691
20;9;2011;3;0;2;1;2;561667;532217;88125;134954;438
21;9;2011;3;0;3;1;2;595;550533;9;964042;539
22;9;2011;3;0;4;1;2;628333;554963;902083;128125;555
23;9;2011;4;0;5;1;2;609167;522125;9725;783667;258
24;9;2011;4;0;6;0;2;606667;564412;8625;783833;1776
25;9;2011;4;0;0;0;2;634167;572637;845;503792;1544
26;9;2011;4;0;1;1;2;649167;589042;848333;1107;684
27;9;2011;4;0;2;1;2;636667;574525;885417;118171;477
28;9;2011;4;0;3;1;2;635;575158;84875;148629;480
29;9;2011;4;0;4;1;1;616667;574512;699167;172883;653
30;9;2011;4;0;5;1;1;564167;544829;6475;206475;830
1;10;2011;4;0;6;0;2;41;412863;75375;292296;480
2;10;2011;4;0;0;0;2;356667;345317;791667;222013;616
3;10;2011;4;0;1;1;2;384167;392046;760833;833458;330
4;10;2011;4;0;2;1;1;484167;472858;71;205854;486
5;10;2011;4;0;3;1;1;538333;527138;647917;17725;559
6;10;2011;4;0;4;1;1;494167;480425;620833;134954;639
7;10;2011;4;0;5;1;1;510833;504404;684167;223917;949
8;10;2011;4;0;6;0;1;521667;513242;70125;454042;2235
9;10;2011;4;0;0;0;1;540833;523983;7275;6345;2397
10;10;2011;4;1;1;0;1;570833;542925;73375;423042;1514
11;10;2011;4;0;2;1;2;566667;546096;80875;143042;667
12;10;2011;4;0;3;1;3;543333;517717;90625;24815;217
13;10;2011;4;0;4;1;2;589167;551804;896667;141787;290
14;10;2011;4;0;5;1;2;550833;529675;71625;223883;529
15;10;2011;4;0;6;0;1;506667;498725;483333;258083;1899
16;10;2011;4;0;0;0;1;511667;503154;486667;281717;1748
17;10;2011;4;0;1;1;1;534167;510725;579583;175379;713
18;10;2011;4;0;2;1;2;5325;522721;701667;110087;637
19;10;2011;4;0;3;1;3;541739;513848;895217;243339;254
20;10;2011;4;0;4;1;1;475833;466525;63625;422275;471
21;10;2011;4;0;5;1;1;4275;423596;574167;221396;676
22;10;2011;4;0;6;0;1;4225;425492;629167;926667;1499
23;10;2011;4;0;0;0;1;421667;422333;74125;995125;1619
24;10;2011;4;0;1;1;1;463333;457067;772083;118792;699
25;10;2011;4;0;2;1;1;471667;463375;622917;166658;695
26;10;2011;4;0;3;1;2;484167;472846;720417;148642;404
27;10;2011;4;0;4;1;2;47;457046;812917;197763;240
28;10;2011;4;0;5;1;2;330833;318812;585833;229479;456
29;10;2011;4;0;6;0;3;254167;227913;8825;351371;57
30;10;2011;4;0;0;0;1;319167;321329;62375;176617;885
31;10;2011;4;0;1;1;1;34;356063;703333;10635;362
1;11;2011;4;0;2;1;1;400833;397088;68375;135571;410
2;11;2011;4;0;3;1;1;3775;390133;71875;820917;370
3;11;2011;4;0;4;1;1;408333;405921;702083;136817;318
4;11;2011;4;0;5;1;2;403333;403392;6225;271779;470
5;11;2011;4;0;6;0;1;326667;323854;519167;189062;1156
6;11;2011;4;0;0;0;1;348333;362358;734583;920542;952
7;11;2011;4;0;1;1;1;395;400871;75875;57225;373
8;11;2011;4;0;2;1;1;408333;412246;721667;690375;376
9;11;2011;4;0;3;1;1;4;409079;758333;621958;305
10;11;2011;4;0;4;1;2;38;373721;813333;189067;190
11;11;2011;4;1;5;0;1;324167;306817;44625;314675;440
12;11;2011;4;0;6;0;1;356667;357942;552917;212062;1275
13;11;2011;4;0;0;0;1;440833;43055;458333;281721;1004
14;11;2011;4;0;1;1;1;53;524612;587083;306596;595
15;11;2011;4;0;2;1;2;53;507579;68875;199633;449
16;11;2011;4;0;3;1;3;456667;451988;93;136829;145
17;11;2011;4;0;4;1;2;341667;323221;575833;305362;139
18;11;2011;4;0;5;1;1;274167;272721;41;168533;245
19;11;2011;4;0;6;0;1;329167;324483;502083;224496;943
20;11;2011;4;0;0;0;2;463333;457058;684583;18595;787
21;11;2011;4;0;1;1;3;4475;445062;91;138054;220
22;11;2011;4;0;2;1;3;416667;421696;9625;118792;69
23;11;2011;4;0;3;1;2;440833;430537;757917;335825;112
24;11;2011;4;1;4;0;1;373333;372471;549167;167304;560
25;11;2011;4;0;5;1;1;375;380671;64375;988958;1095
26;11;2011;4;0;6;0;1;375833;385087;681667;684208;1249
27;11;2011;4;0;0;0;1;459167;4558;698333;208954;810
28;11;2011;4;0;1;1;1;503478;490122;743043;142122;253
29;11;2011;4;0;2;1;2;458333;451375;830833;258092;96
30;11;2011;4;0;3;1;1;325;311221;613333;271158;188
1;12;2011;4;0;4;1;1;3125;305554;524583;220158;182
2;12;2011;4;0;5;1;1;314167;331433;625833;100754;268
3;12;2011;4;0;6;0;1;299167;310604;612917;957833;706
4;12;2011;4;0;0;0;1;330833;3491;775833;839583;634
5;12;2011;4;0;1;1;2;385833;393925;827083;622083;233
6;12;2011;4;0;2;1;3;4625;4564;949583;232583;126
7;12;2011;4;0;3;1;3;41;400246;970417;266175;50
8;12;2011;4;0;4;1;1;265833;256938;58;240058;150
9;12;2011;4;0;5;1;1;290833;317542;695833;827167;261
10;12;2011;4;0;6;0;1;275;266412;5075;233221;502
11;12;2011;4;0;0;0;1;220833;253154;49;665417;377
12;12;2011;4;0;1;1;1;238333;270196;670833;6345;143
13;12;2011;4;0;2;1;1;2825;301138;59;14055;155
14;12;2011;4;0;3;1;2;3175;338362;66375;609583;178
15;12;2011;4;0;4;1;2;4225;412237;634167;268042;181
16;12;2011;4;0;5;1;2;375;359825;500417;260575;178
17;12;2011;4;0;6;0;2;258333;249371;560833;243167;275
18;12;2011;4;0;0;0;1;238333;245579;58625;169779;220
19;12;2011;4;0;1;1;1;276667;280933;6375;172896;260
20;12;2011;4;0;2;1;2;385833;396454;595417;615708;216
21;12;2011;1;0;3;1;2;428333;428017;858333;2214;107
22;12;2011;1;0;4;1;2;423333;426121;7575;47275;227
23;12;2011;1;0;5;1;1;373333;377513;68625;274246;163
24;12;2011;1;0;6;0;1;3025;299242;5425;190304;155
25;12;2011;1;0;0;0;1;274783;279961;681304;155091;303
26;12;2011;1;1;1;0;1;321739;315535;506957;239465;430
27;12;2011;1;0;2;1;2;325;327633;7625;18845;103
28;12;2011;1;0;3;1;1;29913;279974;503913;293961;255
29;12;2011;1;0;4;1;1;248333;263892;574167;119412;254
30;12;2011;1;0;5;1;1;311667;318812;636667;134337;491
31;12;2011;1;0;6;0;1;41;414121;615833;220154;665
1;1;2012;1;0;0;0;1;37;375621;6925;192167;686
