day;mnth;year;season;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;rentals
2;1;2012;1;1;1;0;1;273043;252304;381304;329665;244
3;1;2012;1;0;2;1;1;15;126275;44125;365671;89
4;1;2012;1;0;3;1;2;1075;119337;414583;1847;95
5;1;2012;1;0;4;1;1;265833;278412;524167;129987;140
6;1;2012;1;0;5;1;1;334167;340267;542083;167908;307
7;1;2012;1;0;6;0;1;393333;390779;531667;174758;1070
8;1;2012;1;0;0;0;1;3375;340258;465;191542;599
9;1;2012;1;0;1;1;2;224167;247479;701667;989;106
10;1;2012;1;0;2;1;1;308696;318826;646522;187552;173
11;1;2012;1;0;3;1;2;274167;282821;8475;131221;92
12;1;2012;1;0;4;1;2;3825;381938;802917;180967;269
13;1;2012;1;0;5;1;1;274167;249362;5075;378108;174
14;1;2012;1;0;6;0;1;18;183087;4575;187183;333
15;1;2012;1;0;0;0;1;166667;161625;419167;251258;284
16;1;2012;1;1;1;0;1;19;190663;5225;231358;217
17;1;2012;1;0;2;1;2;373043;364278;716087;34913;127
18;1;2012;1;0;3;1;1;303333;275254;443333;415429;109
19;1;2012;1;0;4;1;1;19;190038;4975;220158;130
20;1;2012;1;0;5;1;2;2175;220958;45;20275;115
21;1;2012;1;0;6;0;2;173333;174875;83125;222642;67
22;1;2012;1;0;0;0;2;1625;16225;79625;199638;196
23;1;2012;1;0;1;1;2;218333;243058;91125;110708;145
24;1;2012;1;0;2;1;1;3425;349108;835833;123767;439
25;1;2012;1;0;3;1;1;294167;294821;64375;161071;467
26;1;2012;1;0;4;1;2;341667;35605;769583;733958;244
27;1;2012;1;0;5;1;2;425;415383;74125;342667;269
28;1;2012;1;0;6;0;1;315833;326379;543333;210829;775
29;1;2012;1;0;0;0;1;2825;272721;31125;24005;558
30;1;2012;1;0;1;1;1;269167;262625;400833;215792;126
31;1;2012;1;0;2;1;1;39;381317;416667;261817;324
1;2;2012;1;0;3;1;1;469167;466538;507917;189067;304
2;2;2012;1;0;4;1;2;399167;398971;672917;187187;190
3;2;2012;1;0;5;1;1;313333;309346;526667;178496;310
4;2;2012;1;0;6;0;2;264167;272725;779583;121896;384
5;2;2012;1;0;0;0;2;265833;264521;687917;175996;318
6;2;2012;1;0;1;1;1;282609;296426;622174;1538;206
7;2;2012;1;0;2;1;1;354167;361104;49625;147379;199
8;2;2012;1;0;3;1;2;256667;266421;722917;133721;109
9;2;2012;1;0;4;1;1;265;261988;562083;194037;163
10;2;2012;1;0;5;1;2;280833;293558;54;116929;227
11;2;2012;1;0;6;0;3;224167;210867;73125;289796;192
12;2;2012;1;0;0;0;1;1275;101658;464583;409212;73
13;2;2012;1;0;1;1;1;2225;227913;41125;167283;94
14;2;2012;1;0;2;1;2;319167;333946;50875;141179;135
15;2;2012;1;0;3;1;1;348333;351629;53125;1816;141
16;2;2012;1;0;4;1;2;316667;330162;752917;91425;74
17;2;2012;1;0;5;1;1;343333;351629;634583;205846;349
18;2;2012;1;0;6;0;1;346667;355425;534583;190929;1435
19;2;2012;1;0;0;0;2;28;265788;515833;253112;618
20;2;2012;1;1;1;0;1;28;273391;507826;229083;502
21;2;2012;1;0;2;1;1;287826;295113;594348;205717;163
22;2;2012;1;0;3;1;1;395833;392667;567917;234471;394
23;2;2012;1;0;4;1;1;454167;444446;554583;190913;516
24;2;2012;1;0;5;1;2;4075;410971;7375;237567;246
25;2;2012;1;0;6;0;1;290833;255675;395833;421642;317
26;2;2012;1;0;0;0;1;279167;268308;41;205229;515
27;2;2012;1;0;1;1;1;366667;357954;490833;268033;253
28;2;2012;1;0;2;1;1;359167;353525;395833;193417;229
29;2;2012;1;0;3;1;2;344348;34847;804783;179117;65
1;3;2012;1;0;4;1;1;485833;475371;615417;226987;325
2;3;2012;1;0;5;1;2;353333;359842;657083;144904;246
3;3;2012;1;0;6;0;2;414167;413492;62125;161079;956
4;3;2012;1;0;0;0;1;325833;303021;403333;334571;710
5;3;2012;1;0;1;1;1;243333;241171;50625;228858;203
6;3;2012;1;0;2;1;1;258333;255042;456667;200875;221
7;3;2012;1;0;3;1;1;404167;3851;513333;345779;432
8;3;2012;1;0;4;1;1;5275;524604;5675;441563;486
9;3;2012;1;0;5;1;2;410833;397083;407083;4148;447
10;3;2012;1;0;6;0;1;2875;277767;350417;22575;968
11;3;2012;1;0;0;0;1;361739;35967;476957;222587;1658
12;3;2012;1;0;1;1;1;466667;459592;489167;207713;838
13;3;2012;1;0;2;1;1;565;542929;6175;23695;762
14;3;2012;1;0;3;1;1;5725;548617;507083;115062;997
15;3;2012;1;0;4;1;1;5575;532825;579583;149883;1005
16;3;2012;1;0;5;1;2;435833;436229;842083;113192;548
17;3;2012;1;0;6;0;2;514167;505046;755833;110704;3155
18;3;2012;1;0;0;0;2;4725;464;81;126883;2207
19;3;2012;1;0;1;1;1;545;532821;72875;162317;982
20;3;2012;1;0;2;1;1;560833;538533;807917;121271;1051
21;3;2012;2;0;3;1;2;531667;513258;82125;895583;1122
22;3;2012;2;0;4;1;1;554167;531567;83125;117562;1334
23;3;2012;2;0;5;1;2;601667;570067;694167;1163;2469
24;3;2012;2;0;6;0;2;5025;486733;885417;192783;1033
25;3;2012;2;0;0;0;2;4375;437488;880833;220775;1532
26;3;2012;2;0;1;1;1;445833;43875;477917;386821;795
27;3;2012;2;0;2;1;1;323333;315654;29;187192;531
28;3;2012;2;0;3;1;1;484167;47095;48125;291671;674
29;3;2012;2;0;4;1;1;494167;482304;439167;31965;834
30;3;2012;2;0;5;1;2;37;375621;580833;138067;796
31;3;2012;2;0;6;0;2;424167;421708;738333;250617;2301
1;4;2012;2;0;0;0;2;425833;417287;67625;172267;2347
2;4;2012;2;0;1;1;1;433913;427513;504348;312139;1208
3;4;2012;2;0;2;1;1;466667;461483;396667;100133;1348
4;4;2012;2;0;3;1;1;541667;53345;469583;180975;1058
5;4;2012;2;0;4;1;1;435;431163;374167;219529;1192
6;4;2012;2;0;5;1;1;403333;390767;377083;300388;1807
7;4;2012;2;0;6;0;1;4375;426129;254167;274871;3252
8;4;2012;2;0;0;0;1;5;492425;275833;232596;2230
9;4;2012;2;0;1;1;1;489167;476638;3175;358196;905
10;4;2012;2;0;2;1;1;446667;436233;435;249375;819
11;4;2012;2;0;3;1;1;348696;337274;469565;295274;482
12;4;2012;2;0;4;1;1;3975;387604;46625;290429;663
13;4;2012;2;0;5;1;1;4425;431808;408333;155471;1252
14;4;2012;2;0;6;0;1;495;487996;502917;190917;2795
15;4;2012;2;0;0;0;1;606667;573875;507917;225129;2846
16;4;2012;2;1;1;0;1;664167;614925;561667;284829;1198
17;4;2012;2;0;2;1;1;608333;598487;390417;273629;989
18;4;2012;2;0;3;1;2;463333;457038;569167;167912;347
19;4;2012;2;0;4;1;1;498333;493046;6125;659292;846
20;4;2012;2;0;5;1;1;526667;515775;694583;149871;1340
21;4;2012;2;0;6;0;1;57;542921;682917;283587;2541
22;4;2012;2;0;0;0;3;396667;389504;835417;344546;120
23;4;2012;2;0;1;1;2;321667;301125;766667;303496;195
24;4;2012;2;0;2;1;1;413333;405283;454167;249383;518
25;4;2012;2;0;3;1;1;476667;470317;427917;118792;655
26;4;2012;2;0;4;1;2;498333;483583;756667;176625;475
27;4;2012;2;0;5;1;1;4575;452637;400833;347633;1014
28;4;2012;2;0;6;0;2;376667;377504;489583;129975;1120
29;4;2012;2;0;0;0;1;458333;450121;587083;116908;2229
30;4;2012;2;0;1;1;2;464167;457696;57;171638;665
1;5;2012;2;0;2;1;2;613333;577021;659583;156096;653
2;5;2012;2;0;3;1;1;564167;537896;797083;138058;667
3;5;2012;2;0;4;1;2;56;537242;768333;133696;764
4;5;2012;2;0;5;1;1;6275;590917;735417;162938;1069
5;5;2012;2;0;6;0;2;621667;584608;756667;152992;2496
6;5;2012;2;0;0;0;2;5625;546737;74;149879;2135
7;5;2012;2;0;1;1;2;5375;527142;664167;230721;1008
8;5;2012;2;0;2;1;2;581667;557471;685833;296029;738
9;5;2012;2;0;3;1;2;575;553025;744167;216412;620
10;5;2012;2;0;4;1;1;505833;491783;552083;314063;1026
11;5;2012;2;0;5;1;1;533333;520833;360417;236937;1319
12;5;2012;2;0;6;0;1;564167;544817;480417;123133;2622
13;5;2012;2;0;0;0;1;6125;585238;57625;225117;2172
14;5;2012;2;0;1;1;2;573333;5499;789583;212692;342
15;5;2012;2;0;2;1;2;611667;576404;794583;147392;625
16;5;2012;2;0;3;1;1;636667;595975;697917;122512;991
17;5;2012;2;0;4;1;1;593333;572613;52;229475;1242
18;5;2012;2;0;5;1;1;564167;551121;523333;136817;1521
19;5;2012;2;0;6;0;1;6;566908;45625;83975;3410
20;5;2012;2;0;0;0;1;620833;583967;530417;254367;2704
21;5;2012;2;0;1;1;2;598333;565667;81125;233204;630
22;5;2012;2;0;2;1;2;615;580825;765833;118167;819
23;5;2012;2;0;3;1;2;621667;584612;774583;102;766
24;5;2012;2;0;4;1;1;655;6067;716667;172896;1059
25;5;2012;2;0;5;1;1;68;627529;747083;14055;1417
26;5;2012;2;0;6;0;1;6925;642696;7325;198992;2855
27;5;2012;2;0;0;0;1;69;641425;697083;215171;3283
28;5;2012;2;1;1;0;1;7125;6793;67625;196521;2557
29;5;2012;2;0;2;1;1;7225;672992;684583;2954;880
30;5;2012;2;0;3;1;2;656667;611129;67;134329;745
31;5;2012;2;0;4;1;1;68;631329;492917;195279;1100
1;6;2012;2;0;5;1;2;654167;607962;755417;237563;533
2;6;2012;2;0;6;0;1;583333;566288;549167;186562;2795
3;6;2012;2;0;0;0;1;6025;575133;493333;184087;2494
4;6;2012;2;0;1;1;1;5975;578283;487083;284833;1071
5;6;2012;2;0;2;1;2;540833;525892;613333;209575;968
6;6;2012;2;0;3;1;1;554167;542292;61125;77125;1027
7;6;2012;2;0;4;1;1;6025;569442;567083;15735;1038
8;6;2012;2;0;5;1;1;649167;597862;467917;175383;1488
9;6;2012;2;0;6;0;1;710833;648367;437083;144287;2708
10;6;2012;2;0;0;0;1;726667;663517;538333;133721;2224
11;6;2012;2;0;1;1;2;720833;659721;587917;207713;1017
12;6;2012;2;0;2;1;2;653333;597875;833333;214546;477
13;6;2012;2;0;3;1;1;655833;611117;582083;343279;1173
14;6;2012;2;0;4;1;1;648333;624383;569583;253733;1180
15;6;2012;2;0;5;1;1;639167;599754;589583;176617;1563
16;6;2012;2;0;6;0;1;631667;594708;504167;166667;2963
17;6;2012;2;0;0;0;1;5925;571975;59875;144904;2634
18;6;2012;2;0;1;1;2;568333;544842;777917;174746;653
19;6;2012;2;0;2;1;1;688333;654692;69;148017;968
20;6;2012;2;0;3;1;1;7825;720975;592083;113812;872
21;6;2012;3;0;4;1;1;805833;752542;567917;118787;778
22;6;2012;3;0;5;1;1;7775;724121;57375;182842;964
23;6;2012;3;0;6;0;1;731667;652792;534583;179721;2657
24;6;2012;3;0;0;0;1;743333;674254;479167;145525;2551
25;6;2012;3;0;1;1;1;715833;654042;504167;300383;1139
26;6;2012;3;0;2;1;1;630833;594704;373333;347642;1077
27;6;2012;3;0;3;1;1;6975;640792;36;271775;1077
28;6;2012;3;0;4;1;1;749167;675512;4225;17165;921
29;6;2012;3;0;5;1;1;834167;786613;48875;165417;829
30;6;2012;3;0;6;0;1;765;687508;60125;161071;1455
1;7;2012;3;0;0;0;1;815833;750629;51875;168529;1421
2;7;2012;3;0;1;1;1;781667;702038;447083;195267;904
3;7;2012;3;0;2;1;1;780833;70265;492083;126237;1052
4;7;2012;3;1;3;0;1;789167;732337;53875;13495;2562
5;7;2012;3;0;4;1;1;8275;761367;457917;194029;1405
6;7;2012;3;0;5;1;1;828333;752533;450833;146142;1366
7;7;2012;3;0;6;0;1;861667;804913;492083;163554;1448
8;7;2012;3;0;0;0;1;8225;790396;57375;125629;1203
9;7;2012;3;0;1;1;2;710833;654054;683333;180975;998
10;7;2012;3;0;2;1;2;720833;664796;6675;151737;954
11;7;2012;3;0;3;1;1;716667;650271;633333;151733;975
12;7;2012;3;0;4;1;1;715833;654683;529583;146775;1032
13;7;2012;3;0;5;1;2;731667;667933;485833;8085;1511
14;7;2012;3;0;6;0;2;703333;666042;699167;143679;2355
15;7;2012;3;0;0;0;1;745833;705196;717917;166667;1920
16;7;2012;3;0;1;1;1;763333;724125;645;164187;1088
17;7;2012;3;0;2;1;1;818333;755683;505833;114429;921
18;7;2012;3;0;3;1;1;793333;745583;577083;137442;799
19;7;2012;3;0;4;1;1;77;714642;600417;165429;888
20;7;2012;3;0;5;1;2;665833;613025;844167;208967;747
21;7;2012;3;0;6;0;3;595833;549912;865417;2133;1264
22;7;2012;3;0;0;0;2;6675;623125;7625;939208;2544
23;7;2012;3;0;1;1;1;741667;690017;694167;138683;1135
24;7;2012;3;0;2;1;1;750833;70645;655;211454;1140
25;7;2012;3;0;3;1;1;724167;654054;45;1648;1383
26;7;2012;3;0;4;1;1;776667;739263;596667;284813;1036
27;7;2012;3;0;5;1;1;781667;734217;594583;152992;1259
28;7;2012;3;0;6;0;1;755833;697604;613333;15735;2234
29;7;2012;3;0;0;0;1;721667;667933;62375;170396;2153
30;7;2012;3;0;1;1;1;730833;684987;66875;153617;1040
31;7;2012;3;0;2;1;1;713333;662896;704167;165425;968
1;8;2012;3;0;3;1;1;7175;667308;6775;141179;1074
2;8;2012;3;0;4;1;1;7525;707088;659583;129354;983
3;8;2012;3;0;5;1;2;765833;722867;6425;215792;1328
4;8;2012;3;0;6;0;1;793333;751267;613333;257458;2345
5;8;2012;3;0;0;0;1;769167;731079;6525;290421;1707
6;8;2012;3;0;1;1;2;7525;710246;654167;129354;1233
7;8;2012;3;0;2;1;2;735833;697621;70375;116908;1278
8;8;2012;3;0;3;1;2;75;707717;672917;1107;1263
9;8;2012;3;0;4;1;1;755833;699508;620417;1561;1196
10;8;2012;3;0;5;1;2;715833;667942;715833;238813;1065
11;8;2012;3;0;6;0;2;6925;638267;732917;206479;2247
12;8;2012;3;0;0;0;1;700833;644579;530417;122512;2182
13;8;2012;3;0;1;1;1;720833;662254;545417;136212;1207
14;8;2012;3;0;2;1;1;726667;676779;686667;169158;1128
15;8;2012;3;0;3;1;1;706667;654037;619583;169771;1198
16;8;2012;3;0;4;1;1;719167;654688;519167;141796;1338
17;8;2012;3;0;5;1;1;723333;2424;570833;231354;1483
18;8;2012;3;0;6;0;1;678333;618071;603333;177867;2827
19;8;2012;3;0;0;0;2;635833;603554;711667;8645;1208
20;8;2012;3;0;1;1;2;635833;595967;734167;129979;1026
21;8;2012;3;0;2;1;1;649167;601025;67375;727708;1081
22;8;2012;3;0;3;1;1;6675;621854;677083;702833;1094
23;8;2012;3;0;4;1;1;695833;637008;635833;845958;1363
24;8;2012;3;0;5;1;2;7025;6471;615;721458;1325
25;8;2012;3;0;6;0;2;661667;618696;712917;244408;1829
26;8;2012;3;0;0;0;2;653333;595996;845833;228858;1483
27;8;2012;3;0;1;1;1;703333;654688;730417;128733;989
28;8;2012;3;0;2;1;1;728333;66605;62;190925;935
29;8;2012;3;0;3;1;1;685;635733;552083;112562;1177
30;8;2012;3;0;4;1;1;706667;652779;590417;771167;1172
31;8;2012;3;0;5;1;1;764167;6894;5875;168533;1433
1;9;2012;3;0;6;0;2;753333;702654;638333;113187;2352
2;9;2012;3;0;0;0;2;696667;649;815;640708;2613
3;9;2012;3;1;1;0;1;7075;661629;790833;151121;1965
4;9;2012;3;0;2;1;1;725833;686888;755;236321;867
5;9;2012;3;0;3;1;1;736667;708983;74125;187808;832
6;9;2012;3;0;4;1;2;696667;655329;810417;142421;611
7;9;2012;3;0;5;1;1;703333;657204;73625;171646;1045
8;9;2012;3;0;6;0;2;659167;611121;799167;281104;1557
9;9;2012;3;0;0;0;1;61;578925;5475;224496;2570
10;9;2012;3;0;1;1;1;583333;565654;50375;258713;1118
11;9;2012;3;0;2;1;1;5775;554292;52;920542;1070
12;9;2012;3;0;3;1;1;599167;570075;577083;131846;1050
13;9;2012;3;0;4;1;1;6125;579558;637083;827208;1054
14;9;2012;3;0;5;1;1;633333;594083;6725;103863;1379
15;9;2012;3;0;6;0;1;608333;585867;501667;247521;3160
16;9;2012;3;0;0;0;1;58;563125;57;901833;2166
17;9;2012;3;0;1;1;2;580833;55305;734583;151742;1022
18;9;2012;3;0;2;1;2;623333;565067;8725;357587;371
19;9;2012;3;0;3;1;1;5525;540404;536667;215175;788
20;9;2012;3;0;4;1;1;546667;532192;618333;118167;939
21;9;2012;3;0;5;1;1;599167;571971;66875;154229;1250
22;9;2012;3;0;6;0;1;65;610488;646667;283583;2512
23;9;2012;4;0;0;0;1;529167;518933;467083;223258;2454
24;9;2012;4;0;1;1;1;514167;502513;492917;142404;1001
25;9;2012;4;0;2;1;1;55;544179;57;236321;845
26;9;2012;4;0;3;1;1;635;596613;630833;2444;787
27;9;2012;4;0;4;1;2;65;607975;690833;134342;751
28;9;2012;4;0;5;1;2;619167;585863;69;164179;1045
29;9;2012;4;0;6;0;1;5425;530296;542917;227604;2589
30;9;2012;4;0;0;0;1;526667;517663;583333;134958;2015
1;10;2012;4;0;1;1;2;520833;512;649167;908042;763
2;10;2012;4;0;2;1;3;590833;542333;871667;104475;315
3;10;2012;4;0;3;1;2;6575;599133;79375;665458;728
4;10;2012;4;0;4;1;2;6575;607975;722917;117546;891
5;10;2012;4;0;5;1;1;615;580187;6275;10635;1516
6;10;2012;4;0;6;0;1;554167;538521;664167;268025;3031
7;10;2012;4;0;0;0;2;415833;419813;708333;141162;781
8;10;2012;4;1;1;0;2;383333;387608;709583;189679;874
9;10;2012;4;0;2;1;2;446667;438112;761667;1903;601
10;10;2012;4;0;3;1;1;514167;503142;630833;187821;780
11;10;2012;4;0;4;1;1;435;431167;463333;181596;834
12;10;2012;4;0;5;1;1;4375;433071;539167;235092;1060
13;10;2012;4;0;6;0;1;393333;391396;494583;146142;2252
14;10;2012;4;0;0;0;1;521667;508204;640417;278612;2080
15;10;2012;4;0;1;1;2;561667;53915;7075;296037;760
16;10;2012;4;0;2;1;1;468333;460846;558333;182221;922
17;10;2012;4;0;3;1;1;455833;450108;692917;101371;979
18;10;2012;4;0;4;1;2;5225;512625;728333;236937;1008
19;10;2012;4;0;5;1;2;563333;537896;815;134954;753
20;10;2012;4;0;6;0;1;484167;472842;572917;117537;2806
21;10;2012;4;0;0;0;1;464167;456429;51;166054;2132
22;10;2012;4;0;1;1;1;4875;482942;568333;814833;830
23;10;2012;4;0;2;1;1;544167;530304;641667;945458;841
24;10;2012;4;0;3;1;1;5875;558721;63625;727792;795
25;10;2012;4;0;4;1;2;55;529688;800417;124375;875
26;10;2012;4;0;5;1;2;545833;52275;807083;132467;1182
27;10;2012;4;0;6;0;2;53;515133;72;235692;2643
28;10;2012;4;0;0;0;2;4775;467771;694583;398008;998
29;10;2012;4;0;1;1;3;44;4394;88;3582;2
30;10;2012;4;0;2;1;2;318182;309909;825455;213009;87
31;10;2012;4;0;3;1;2;3575;3611;666667;166667;419
1;11;2012;4;0;4;1;2;365833;369942;581667;157346;466
2;11;2012;4;0;5;1;1;355;356042;522083;266175;618
3;11;2012;4;0;6;0;2;343333;323846;49125;270529;1029
4;11;2012;4;0;0;0;1;325833;329538;532917;179108;1201
5;11;2012;4;0;1;1;1;319167;308075;494167;236325;378
6;11;2012;4;0;2;1;1;280833;281567;567083;173513;466
7;11;2012;4;0;3;1;2;295833;274621;5475;304108;326
8;11;2012;4;0;4;1;1;352174;341891;333478;347835;340
9;11;2012;4;0;5;1;1;361667;355413;540833;214558;709
10;11;2012;4;0;6;0;1;389167;393937;645417;578458;2090
11;11;2012;4;0;0;0;1;420833;421713;659167;1275;2290
12;11;2012;4;1;1;0;1;485;475383;741667;173517;1097
13;11;2012;4;0;2;1;2;343333;323225;662917;342046;327
14;11;2012;4;0;3;1;1;289167;281563;552083;199625;373
15;11;2012;4;0;4;1;2;321667;324492;620417;152987;320
16;11;2012;4;0;5;1;1;345;347204;524583;171025;484
17;11;2012;4;0;6;0;1;325;326383;545417;179729;1313
18;11;2012;4;0;0;0;1;3425;337746;692917;227612;922
19;11;2012;4;0;1;1;2;380833;375621;623333;235067;449
20;11;2012;4;0;2;1;2;374167;380667;685;82725;534
21;11;2012;4;0;3;1;1;353333;364892;61375;103246;615
22;11;2012;4;1;4;0;1;34;350371;580417;528708;955
23;11;2012;4;0;5;1;1;368333;378779;56875;148021;1603
24;11;2012;4;0;6;0;1;278333;248742;404583;376871;532
25;11;2012;4;0;0;0;1;245833;257583;468333;1505;309
26;11;2012;4;0;1;1;1;313333;339004;535417;4665;337
27;11;2012;4;0;2;1;2;291667;281558;786667;237562;123
28;11;2012;4;0;3;1;1;296667;289762;50625;210821;198
29;11;2012;4;0;4;1;1;28087;298422;555652;115522;243
30;11;2012;4;0;5;1;1;298333;323867;649583;584708;362
1;12;2012;4;0;6;0;2;298333;316904;806667;597042;951
2;12;2012;4;0;0;0;2;3475;359208;823333;124379;892
3;12;2012;4;0;1;1;1;4525;455796;7675;827208;555
4;12;2012;4;0;2;1;1;475833;469054;73375;174129;551
5;12;2012;4;0;3;1;1;438333;428012;485;324021;331
6;12;2012;4;0;4;1;1;255833;258204;50875;174754;340
7;12;2012;4;0;5;1;2;320833;321958;764167;1306;349
8;12;2012;4;0;6;0;2;381667;389508;91125;101379;1153
9;12;2012;4;0;0;0;2;384167;390146;905417;157975;441
10;12;2012;4;0;1;1;2;435833;435575;925;190308;329
11;12;2012;4;0;2;1;2;353333;338363;596667;296037;282
12;12;2012;4;0;3;1;2;2975;297338;538333;162937;310
13;12;2012;4;0;4;1;1;295833;294188;485833;174129;425
14;12;2012;4;0;5;1;1;281667;294192;642917;131229;429
15;12;2012;4;0;6;0;1;324167;338383;650417;10635;767
16;12;2012;4;0;0;0;2;3625;369938;83875;100742;538
17;12;2012;4;0;1;1;2;393333;4015;907083;982583;212
18;12;2012;4;0;2;1;1;410833;409708;66625;221404;433
19;12;2012;4;0;3;1;1;3325;342162;625417;184092;333
20;12;2012;4;0;4;1;2;33;335217;667917;132463;314
21;12;2012;1;0;5;1;2;326667;301767;556667;374383;221
22;12;2012;1;0;6;0;1;265833;236113;44125;407346;205
23;12;2012;1;0;0;0;1;245833;259471;515417;133083;408
24;12;2012;1;0;1;1;2;231304;2589;791304;772304;174
25;12;2012;1;1;2;0;2;291304;294465;734783;168726;440
26;12;2012;1;0;3;1;3;243333;220333;823333;316546;9
27;12;2012;1;0;4;1;2;254167;226642;652917;350133;247
28;12;2012;1;0;5;1;2;253333;255046;59;155471;644
29;12;2012;1;0;6;0;2;253333;2424;752917;124383;159
30;12;2012;1;0;0;0;1;255833;2317;483333;350754;364
31;12;2012;1;0;1;1;2;215833;223487;5775;154846;439
